FID,vid,cid,id,source,project,pcode,name,visit_date,visit_onsite,visit_onsite_novisitreason,geom,longitude,latitude,location_origin,province,province_old,territoire,collectivite,groupement,village,workers_numb,access_dry,access_wet,is_3t_mine,is_gold_mine,mineral1,selling_points_mineral1,final_destination_mineral1,mineral2,selling_points_mineral2,final_destination_mineral2,mineral3,selling_points_mineral3,final_destination_mineral3,mercury,presence,interference,armed_group1,type_armed_group1,frequency_armed_group1,taxation_armed_group1,commerce_taxation_armed_group1,entrance_taxation_armed_group1,monopoly_armed_group1,buying_minerals_armed_group1,digging_armed_group1,forced_labour_armed_group1,pillaging_armed_group1,armed_group2,type_armed_group2,frequency_armed_group2,taxation_armed_group2,commerce_taxation_armed_group2,entrance_taxation_armed_group2,monopoly_armed_group2,buying_minerals_armed_group2,digging_armed_group2,forced_labour_armed_group2,pillaging_armed_group2,state_service1,state_service2,state_service3,state_service4,itsci,traceability,qualification,childunder15,childunder15work,women,womenwork
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1386,1385,226,226,BGR,Qualification status,codmine01109,Sango Mutosha,2013-12-01,1,,POINT (28.5730277778 -5.6772222222),28.57302778,-5.67722222,GPS,Tanganyika,Katanga,Kalemie,Tumbwe,Mungonda,Sango Mutosha,50,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1385,1386,260,260,BGR,Qualification status,codmine01145,4 kilomètre,2013-12-01,1,,POINT (28.2778683333 -5.5927583333),28.27786833,-5.59275833,GPS,Tanganyika,Katanga,Nyunzu,Nord-Lukuga,Bakalanga,Kisengo,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1384,1387,262,262,BGR,Qualification status,codmine01166,Budjana,2013-12-01,1,,POINT (28.290661 -5.613482),28.290661,-5.613482,GPS,Tanganyika,Katanga,Nyunzu,Nord-Lukuga,Bakalanga,Kisengo,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1383,1388,265,265,BGR,Qualification status,codmine01175,Debic,2013-12-01,1,,POINT (28.2683983333 -5.58763),28.26839833,-5.58763,GPS,Tanganyika,Katanga,Nyunzu,Nord-Lukuga,Bakalanga,Kisengo,1632,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1382,1389,268,268,BGR,Qualification status,codmine01186,Kabala1,2013-12-01,1,,POINT (26.841956 -7.985388),26.841956,-7.985388,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Nkulu,Kabala,Kabala,,,,1,0,Cassitérite,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1381,1390,269,269,BGR,Qualification status,codmine01187,Kabala2,2013-12-01,1,,POINT (26.795834 -7.907843),26.795834,-7.907843,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Mwanza,Kalwenya,Katondo,,,,1,0,Cassitérite,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-1380,1391,271,271,BGR,Qualification status,codmine01193,Mayi Baridi/Kahanda,2013-12-01,1,,POINT (28.18909 -6.0131966667),28.18909,-6.01319667,GPS,Tanganyika,Katanga,Kalemie,Benze,Benze,Benze,,,,1,0,Coltan,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-137f,1392,273,273,BGR,Qualification status,codmine01196,Kalalalala,2013-12-01,1,,POINT (27.360684 -7.544566),27.360684,-7.544566,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Museka,Kiwala-nord,Kanunka,,,,1,0,Cassitérite,,,Coltan,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-137e,1393,275,275,BGR,Qualification status,codmine01197,Kalamulongo,2013-12-01,1,,POINT (27.193381 -7.770757),27.193381,-7.770757,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Museka,Kasanza,Kivwa,,,,0,0,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_17c662a0ff2_-137d,1394,277,277,BGR,Qualification status,codmine01203,Kalwenya,2013-12-01,1,,POINT (26.683242 -7.901714),26.683242,-7.901714,GPS,Haut-Lomami,Katanga,Malemba-Nkulu,Mwanza,Kalwenya,Kalwenya,,,,1,0,Cassitérite,,,,,,,,,,0,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,Vert,,,,
