year,week,clostridium,rsv,rotavirus,salmonella
2000,30,326,2,41,22
2000,31,318,5,38,50
2000,32,307,4,26,94
2000,33,306,10,28,113
2000,34,314,5,29,88
2000,35,289,7,22,78
2000,36,303,10,21,45
2000,37,327,10,26,37
2000,38,329,16,20,37
2000,39,339,20,26,24
2000,40,322,41,25,32
2000,41,302,53,31,19
2000,42,321,80,20,19
2000,43,358,142,30,16
2000,44,406,216,35,25
2000,45,382,256,58,17
2000,46,368,446,45,14
2000,47,363,738,52,10
2000,48,395,876,54,7
2000,49,412,918,59,12
2000,50,408,1040,69,22
2000,51,382,981,86,11
2000,52,365,767,60,13
2001,1,462,785,96,14
2001,2,458,475,170,14
2001,3,470,331,227,5
2001,4,520,266,393,16
2001,5,496,213,460,13
2001,6,475,177,554,7
2001,7,485,110,670,13
2001,8,476,94,843,8
2001,9,443,85,1005,10
2001,10,472,60,1147,5
2001,11,419,46,1085,15
2001,12,461,41,1106,5
2001,13,497,44,1082,14
2001,14,470,29,938,17
2001,15,440,25,697,8
2001,16,428,20,589,13
2001,17,381,18,705,12
2001,18,414,15,571,12
2001,19,402,14,529,9
2001,20,405,11,563,19
2001,21,379,4,431,9
2001,22,336,5,272,9
2001,23,369,8,300,23
2001,24,390,5,245,11
2001,25,367,5,236,10
2001,26,405,6,204,17
2001,27,389,3,126,25
2001,28,434,5,64,43
2001,29,404,3,69,38
2001,30,439,3,71,27
2001,31,478,5,70,25
2001,32,398,7,65,36
2001,33,423,1,47,27
2001,34,410,7,42,30
2001,35,324,6,35,29
2001,36,350,8,32,31
2001,37,366,10,46,32
2001,38,365,24,56,28
2001,39,344,16,43,19
2001,40,369,21,38,19
2001,41,398,36,42,11
2001,42,401,40,41,18
2001,43,462,47,35,17
2001,44,387,105,29,14
2001,45,377,150,47,17
2001,46,413,189,75,14
2001,47,451,348,65,22
2001,48,415,512,96,27
2001,49,383,676,86,30
2001,50,403,766,101,20
2001,51,386,886,127,26
2001,52,351,723,115,13
2002,1,479,822,167,26
2002,2,557,510,261,45
2002,3,608,385,319,34
2002,4,630,351,334,13
2002,5,613,266,347,10
2002,6,534,217,366,10
2002,7,581,131,362,15
2002,8,559,129,477,21
2002,9,578,65,579,14
2002,10,563,69,790,17
2002,11,491,70,923,13
2002,12,537,74,1042,15
2002,13,485,43,830,19
2002,14,546,49,828,10
2002,15,525,32,910,11
2002,16,551,20,945,8
2002,17,558,23,934,8
2002,18,530,9,718,13
2002,19,539,15,598,12
2002,20,562,18,528,11
2002,21,537,13,384,10
2002,22,463,11,249,15
2002,23,472,5,143,18
2002,24,520,10,132,19
2002,25,488,4,106,27
2002,26,498,4,81,16
2002,27,544,7,89,13
2002,28,538,5,82,17
2002,29,543,6,66,27
2002,30,545,4,48,18
2002,31,533,10,36,18
2002,32,539,9,27,26
2002,33,570,9,26,19
2002,34,506,6,15,13
2002,35,445,5,18,21
2002,36,517,16,20,21
2002,37,510,22,33,25
2002,38,503,18,24,28
2002,39,492,29,37,26
2002,40,519,45,33,24
2002,41,512,57,41,17
2002,42,537,92,41,11
2002,43,551,138,35,23
2002,44,596,208,64,7
2002,45,584,257,77,16
2002,46,539,402,62,10
2002,47,555,574,73,10
2002,48,585,674,70,17
2002,49,561,760,69,10
2002,50,568,758,91,17
2002,51,575,690,110,9
2002,52,448,489,120,3
2003,1,570,500,109,12
2003,2,686,295,177,8
2003,3,752,205,259,10
2003,4,686,170,347,10
2003,5,651,113,389,6
2003,6,622,93,506,4
2003,7,688,78,679,5
2003,8,636,64,834,9
2003,9,663,55,1127,6
2003,10,642,59,1107,11
2003,11,698,36,1034,10
2003,12,689,33,1025,10
2003,13,666,20,1103,10
2003,14,638,26,995,5
2003,15,661,33,936,3
2003,16,632,21,855,6
2003,17,629,22,654,11
2003,18,666,14,577,9
2003,19,637,8,299,6
2003,20,623,13,320,6
2003,21,640,16,233,11
2003,22,551,10,144,7
2003,23,583,10,95,10
2003,24,581,6,81,15
2003,25,540,4,67,10
2003,26,558,7,53,11
